    PID CMD
   2287 /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
   2348 /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
  74641 top
   1846 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
   1627 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2444 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   1937 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   1613 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
   1828 /usr/bin/gnome-shell
  78269 /usr/bin/gnome-text-editor
   1940 /usr/bin/ibus-daemon --panel disable
   1605 /usr/bin/pipewire
   1606 /usr/bin/pipewire -c filter-chain.conf
   1611 /usr/bin/pipewire-pulse
   1065 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   3302 /usr/bin/snap userd
   2565 /usr/bin/update-notifier
   1609 /usr/bin/wireplumber
   2832 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.KS7KS2 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
    807 /usr/libexec/accounts-daemon
   1895 /usr/libexec/at-spi2-registryd --use-gnome-session
   1833 /usr/libexec/at-spi-bus-launcher --launch-immediately
   1257 /usr/libexec/colord
   1912 /usr/libexec/dconf-service
   2222 /usr/libexec/evolution-addressbook-factory
   2179 /usr/libexec/evolution-calendar-factory
   1993 /usr/libexec/evolution-data-server/evolution-alarm-notify
   1930 /usr/libexec/evolution-source-registry
   2989 /usr/libexec/fwupd/fwupd
   1757 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
   1669 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
  45503 /usr/libexec/gnome-remote-desktop-daemon --system
   1678 /usr/libexec/gnome-session-binary --session=ubuntu
   1792 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   1758 /usr/libexec/gnome-session-ctl --monitor
   1910 /usr/libexec/gnome-shell-calendar-server
  73792 /usr/libexec/gnome-terminal-server
   2114 /usr/libexec/goa-daemon
   2172 /usr/libexec/goa-identity-service
   1950 /usr/libexec/gsd-a11y-settings
   1951 /usr/libexec/gsd-color
   1957 /usr/libexec/gsd-datetime
   2010 /usr/libexec/gsd-disk-utility-notify
   1959 /usr/libexec/gsd-housekeeping
   1963 /usr/libexec/gsd-keyboard
   1964 /usr/libexec/gsd-media-keys
   1965 /usr/libexec/gsd-power
   2271 /usr/libexec/gsd-printer
   1966 /usr/libexec/gsd-print-notifications
   1967 /usr/libexec/gsd-rfkill
   1968 /usr/libexec/gsd-screensaver-proxy
   1971 /usr/libexec/gsd-sharing
   1972 /usr/libexec/gsd-smartcard
   1974 /usr/libexec/gsd-sound
   1975 /usr/libexec/gsd-wacom
   2837 /usr/libexec/gsd-xsettings
   2198 /usr/libexec/gvfs-afc-volume-monitor
   1769 /usr/libexec/gvfsd
   1786 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   2471 /usr/libexec/gvfsd-metadata
   4017 /usr/libexec/gvfsd-recent --spawner :1.19 /org/gtk/gvfs/exec_spaw/1
   2279 /usr/libexec/gvfsd-trash --spawner :1.19 /org/gtk/gvfs/exec_spaw/0
   2193 /usr/libexec/gvfs-goa-volume-monitor
   2184 /usr/libexec/gvfs-gphoto2-volume-monitor
   2204 /usr/libexec/gvfs-mtp-volume-monitor
   2088 /usr/libexec/gvfs-udisks2-volume-monitor
   2243 /usr/libexec/ibus-engine-simple
   2150 /usr/libexec/ibus-extension-gtk3
   2147 /usr/libexec/ibus-memconf
   2152 /usr/libexec/ibus-portal
   2857 /usr/libexec/ibus-x11
   2866 /usr/libexec/mutter-x11-frames
    789 /usr/libexec/power-profiles-daemon
   1136 /usr/libexec/rtkit-daemon
    811 /usr/libexec/switcheroo-control
   2433 /usr/libexec/tracker-miner-fs-3
    823 /usr/libexec/udisks2/udisksd
   1307 /usr/libexec/upowerd
   2453 /usr/libexec/xdg-desktop-portal
   2459 /usr/libexec/xdg-desktop-portal-gnome
   2481 /usr/libexec/xdg-desktop-portal-gtk
   1647 /usr/libexec/xdg-document-portal
   1660 /usr/libexec/xdg-permission-store
    782 /usr/lib/polkit-1/polkitd --no-debug
  46494 /usr/lib/snapd/snapd
    363 /usr/lib/systemd/systemd-journald
    803 /usr/lib/systemd/systemd-logind
    604 /usr/lib/systemd/systemd-oomd
    609 /usr/lib/systemd/systemd-resolved
      1 /usr/lib/systemd/systemd --system --deserialize=86 splash
    612 /usr/lib/systemd/systemd-timesyncd
    420 /usr/lib/systemd/systemd-udevd
   1588 /usr/lib/systemd/systemd --user
    809 /usr/sbin/cron -f -P
  68824 /usr/sbin/cups-browsed
  68812 /usr/sbin/cupsd -l
   1079 /usr/sbin/gdm3
   1233 /usr/sbin/kerneloops
   1230 /usr/sbin/kerneloops --test
    937 /usr/sbin/ModemManager
    841 /usr/sbin/NetworkManager --no-daemon
    872 /usr/sbin/rsyslogd -n -iNONE
  63400 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
     51 [watchdogd]
